"YEAR","total_weighted_count","related_weighted_count","percent"
2000,90267214.8000019,1921679.81,2.12887903349817
2001,91803499.5699983,2092686.21,2.27952770842289
2002,90244802.0099982,2005661.22,2.2224673059594
2003,90636577.7200006,2544517.57,2.80738487044454
2004,91714541.8300007,2566107.30000001,2.79792849508692
2005,92836462.0999995,2705510.86,2.91427613547546
2006,94027780.3500022,2824131.74,3.00350782448299
2007,96229675.0499999,2840137.65,2.95141560908763
2008,97124917.5800015,3314225.8,3.41233319170652
2009,90241023.319999,3039087.39,3.36774482180155
2010,88290067.4999991,3201567.08,3.62619167778984
2011,89895667.6699983,3149682.7,3.50370911261519
2012,91144060.0300003,3256670.13,3.57310188829427
2013,92629957.6800006,3530573.18,3.81148093816119
2014,188988712.119998,7213299.71,3.81678864789551
2015,97277857.480001,3871413.34,3.97974774557088
2016,99463000.6099992,4257775.65999999,4.2807633329855
2017,98617852.1699986,4061453.04,4.11837507168461
2018,102246810.96,4366381.11999999,4.27043257291239
2019,104509973.3,4432870.89,4.24157690412499
2020,101846135.290599,5164901.7655,5.0712790924888
2021,102506682.136,5107826.61179999,4.98292063050407
2022,106452127.840001,5189986.30000001,4.87541809197148
2023,106586311.9,5602062.01000001,5.25589253454597
2024,106691031.519998,5319128.52999999,4.98554419637696
