"YEAR","race_label","count","percentage"
1990,"Asian or Pacific Islander",84065.96,7.44538258923385
1990,"Black",66243.52,5.8669210517261
1990,"Other",1933.4,0.171233430249589
1990,"White",976859.070000001,86.5164629287905
1991,"Asian or Pacific Islander",69290.04,6.2638026866952
1991,"Black",73203.15,6.61754687462371
1991,"Other",7525.78,0.680328673262088
1991,"White",956178.71,86.438321765419
1992,"Asian or Pacific Islander",78173.69,7.30443226361483
1992,"Black",60239.23,5.62866323883796
1992,"Other",5625.26,0.525615851512471
1992,"White",926184.489999999,86.5412886460348
1993,"Asian or Pacific Islander",88014.8,7.65174208868144
1993,"Black",46567.76,4.04846104481991
1993,"Other",756.02,0.065726105767268
1993,"White",1014919.74,88.2340707607314
1994,"Asian or Pacific Islander",77328.86,6.53052223016036
1994,"Black",50701.57,4.28181315473979
1994,"Other",11616.32,0.98101324644714
1994,"White",1044467.74,88.2066513686527
1995,"Asian or Pacific Islander",66727.66,5.6916682680465
1995,"Black",65894.19,5.62057578928478
1995,"Other",1987.65,0.169540553842029
1995,"Other (single race, n.e.c.)",12203.69,1.04093797273989
1995,"White",1025561.18,87.4772774160868
1996,"Asian or Pacific Islander",174555.36,12.8064861000482
1996,"Black",83455.81,6.12284647537183
1996,"Other",4746.42,0.34822741481551
1996,"White",1100265.48,80.7224400097645
1997,"Asian or Pacific Islander",174262.79,11.0359363751533
1997,"Black",103698.57,6.56715539051327
1997,"Other",7815.42,0.494944892510333
1997,"White",1293271.74,81.9019633418231
1998,"American Indian/Alaskan Native",15649.23,1.00981573053487
1998,"Asian or Pacific Islander",175252.08,11.3086910469688
1998,"Black",106996.2,6.90426595221969
1998,"White",1251813.94,80.7772272702767
1999,"Asian or Pacific Islander",181557.68,10.5325919344272
1999,"Black",133866.54,7.76591571060873
1999,"Other",5181.98,0.300618958957632
1999,"White",1403163.99,81.4008733960065
2000,"Asian or Pacific Islander",262047.73,13.6363887800851
2000,"Black",192666.49,10.0259413143337
2000,"Other",8150.12,0.424114358572566
2000,"White",1458815.47,75.9135555470086
2001,"Asian or Pacific Islander",414737.61,19.8184327883539
2001,"Black",168635.73,8.05833809169125
2001,"Other",7144.57,0.341406655515735
2001,"White",1502168.3,71.7818224644391
2002,"Asian or Pacific Islander",333413.25,16.6236075502323
2002,"Black",145658.51,7.26236856691083
2002,"Other",7031.5,0.350582637281086
2002,"White",1519557.96,75.7634412455758
2003,"Asian only",295672.01,11.6199633866156
2003,"Black",195177.58,7.67051413993577
2003,"Other",35539.25,1.39669894281768
2003,"White",2018128.73,79.312823530631
2004,"Asian only",377776.73,14.7217822886829
2004,"Black",185487.08,7.22834466041229
2004,"Other",50774.2,1.97864680093463
2004,"White",1952069.29,76.0712262499701
2005,"Asian only",421494.4,15.5791058255076
2005,"Black",150648.54,5.56821050794081
2005,"Other",30264.13,1.11861055327643
2005,"White",2075377.39,76.7092611115965
2005,"White-American Indian",27726.4,1.02481200167868
2006,"Asian only",449728.05,15.9244713562831
2006,"Black",216668.72,7.67204719706171
2006,"Other",71304.49,2.52482874612641
2006,"White",2086430.48,73.8786527005288
2007,"Asian only",494760.6,17.4203035546534
2007,"Black",182868.36,6.43871468694484
2007,"Other",34562,1.21691284927687
2007,"White",2127946.69,74.9240689091249
2008,"Asian only",538678.07,16.2535114535648
2008,"Black",261894.8,7.90214112749953
2008,"Other",64367.87,1.94216911835036
2008,"White",2449285.06,73.9021783005853
2009,"Asian only",517751.07,17.0363995357172
2009,"Black",218596.56,7.19283560977166
2009,"Other",54765.54,1.80203899960903
2009,"White",2247974.22,73.9687258549021
2010,"Asian only",559398.43,17.4726443651464
2010,"Black",220660.5,6.89226539648203
2010,"Other",52895.72,1.65218215574606
2010,"White",2368612.43,73.9829080826255
2011,"Asian only",587842.07,18.6635329965142
2011,"Black",183613.68,5.8295929301069
2011,"Other",54807.9,1.7401086147503
2011,"White",2323419.05,73.7667654586285
2012,"Asian only",579745.77,17.8017959098609
2012,"Black",237470.11,7.29180729151712
2012,"Other",67853.87,2.0835352458617
2012,"White",2371600.38,72.8228615527603
2013,"Asian only",709835.42,20.1053875337035
2013,"Black",229035.41,6.48720188827809
2013,"Other",90566.25,2.56519962574462
2013,"White",2501136.1,70.8422109522738
2014,"Asian only",1353185.34,18.7595884602444
2014,"Black",540626.68,7.49485951970793
2014,"Other",197752.91,2.74150413750103
2014,"White",5121734.78,71.0040478825467
2015,"Asian only",818515.639999999,21.1425535874193
2015,"Black",249080.13,6.4338294086676
2015,"Other",86899.23,2.24463838831531
2015,"White",2716918.34,70.1789786155978
2016,"Asian only",949416.339999999,22.2984115607444
2016,"Black",293145.86,6.88495316354926
2016,"Other",102813.61,2.41472586181302
2016,"White",2912399.84999999,68.4019094138933
2017,"Asian only",889311.210000001,21.8963804638746
2017,"Black",368592.89,9.07539460310983
2017,"Other",125335.19,3.08596920278561
2017,"White",2678213.75,65.94225573023
2018,"Asian only",967306.199999999,22.1534990514067
2018,"Black",396626.51,9.08364384829514
2018,"Other",101786.92,2.33115060739361
2018,"White",2900661.49,66.4317064929046
2019,"Asian only",1055686.3,23.8149570830384
2019,"Black",390937.92,8.81906849310471
2019,"Other",91128.45,2.05574338304268
2019,"White",2895118.21999999,65.3102310408142
2020,"Asian only",1221659.8816,23.6531097214728
2020,"Black",432783.3463,8.37931418542873
2020,"Other",129294.114,2.50332184173658
2020,"White",3381164.4236,65.4642542513619
2021,"Asian only",1275192.4871,24.9654615165299
2021,"Black",447808.9651,8.76711366954941
2021,"Other",126036.418,2.46751559085489
2021,"White",3258788.7416,63.7999092230658
2022,"Asian only",1282462.38,24.7103230311032
2022,"Black",402461.91,7.75458520959872
2022,"Other",84427.4,1.62673647134675
2022,"White",3359733.01,64.7349109572794
2022,"White-Asian",60901.6,1.17344433067193
2023,"Asian only",1384160.32,24.7080506700782
2023,"Black",467531.76,8.34570840460939
2023,"Other",116142.42,2.07320839706306
2023,"White",3558863.31,63.5277386013798
2023,"White-Asian",75364.2,1.34529392686962
2024,"Asian only",1283883.5,24.1371023986142
2024,"Black",517868.33,9.73596195465501
2024,"Other",151245.08,2.84341841237666
2024,"White",3366131.62,63.2835172343542
