"YEAR","race_label","count","percentage"
1990,"Asian or Pacific Islander",57175.4,7.77108219707337
1990,"Black",35596.68,4.83817736689062
1990,"Other",1933.4,0.262781026802115
1990,"White",641040.18,87.1279594092339
1991,"Asian or Pacific Islander",48721.84,6.77815051096657
1991,"Black",37250.9,5.18232084151511
1991,"Other",6585.17,0.916124542921649
1991,"White",626249.380000001,87.1234041045967
1992,"Asian or Pacific Islander",56020.33,7.46307839565969
1992,"Black",27808.37,3.70465588770203
1992,"Other",2945.03,0.392339526874791
1992,"White",663859.28,88.4399261897635
1993,"Asian or Pacific Islander",58903.01,7.4081918819346
1993,"Black",28825.86,3.62540899084416
1993,"Other",756.02,0.0950841260332909
1993,"White",706621.54,88.871315001188
1994,"Asian or Pacific Islander",54446.85,6.35676057131775
1994,"Black",37924.17,4.42771011648886
1994,"Other",5729.2,0.66889365803887
1994,"White",758418.59,88.5466356541545
1995,"Asian or Pacific Islander",43539.07,4.98577483624775
1995,"Black",49789.4,5.70151676716737
1995,"Other",915.69,0.104858100088121
1995,"Other (single race, n.e.c.)",9230,1.05695187652301
1995,"White",769791.71,88.1508984199737
1996,"Asian or Pacific Islander",107606.6,11.0480861247753
1996,"Black",61767.19,6.34170427097741
1996,"Other",4746.42,0.487320080221434
1996,"White",799863.87,82.1228895240259
1997,"Asian or Pacific Islander",119335.17,10.6284787265915
1997,"Black",56127.15,4.99891372978487
1997,"Other",7815.42,0.696073296827565
1997,"White",939509.19,83.676534246796
1998,"Asian or Pacific Islander",139835.11,12.0306366953617
1998,"Black",82323.26,7.08263634675015
1998,"Other",8712.52,0.749576861069248
1998,"White",931454.21,80.1371500968189
1999,"Asian or Pacific Islander",124535.9,9.79600342939055
1999,"Black",95284.73,7.4951041575044
1999,"Other",1329.23,0.10455733357569
1999,"White",1050143.08,82.6043350795294
2000,"Asian or Pacific Islander",200567.14,14.4340879568016
2000,"Black",141885.53,10.2109858066352
2000,"Other",8150.12,0.586534508785876
2000,"White",1038935.23,74.7683917277773
2001,"Asian or Pacific Islander",324028.86,21.6019553948418
2001,"Black",88335.15,5.88901855870697
2001,"Other",6517.73,0.434515964829869
2001,"White",1081116.08,72.0745100816213
2002,"Asian or Pacific Islander",242751.39,16.3771396112832
2002,"Black",91163.2,6.15029414995867
2002,"Other",6303.52,0.425264823746286
2002,"White",1142039.45,77.0473014150118
2003,"Asian only",239095.42,12.4251166461998
2003,"Black",128175.09,6.66089900169213
2003,"Other",25849.45,1.34332322840023
2003,"White",1531171.19,79.5706611237078
2004,"Asian only",285623.82,14.8348004598259
2004,"Black",106890.75,5.55171815589869
2004,"Other",39085.51,2.03003286532801
2004,"White",1493763.33,77.5834485189474
2005,"Asian only",309889.61,15.5450299059734
2005,"Black",104317.13,5.23287278187646
2005,"Other",23121.93,1.15986816509861
2005,"White",1531070.76,76.8032873137032
2005,"White-American Indian",25096.96,1.25894183334839
2006,"Asian only",347326.17,16.3334943657852
2006,"Black",137023,6.44369642081098
2006,"Other",55681.91,2.61851896521693
2006,"White",1586434.71,74.6042902481869
2007,"Asian only",388506.88,18.004664103265
2007,"Black",112583.91,5.21750215332664
2007,"Other",25689.97,1.19055621530552
2007,"White",1631031.67,75.5872775281029
